,Sr_No.,State,District,Total Households,"Electrified Households as on 10th Oct,2017","Balance Unelectrified Households as on 10th Oct,2017","Household Progress from 10th Oct,2017 to 31th Jan,2019 (a)","Additional Households electrifed from 1st Feb,2019 onwards due to Saubhagya Rath Campaigns, Camps, Control Centre, etc to till date (b)",Total Progress (a+b),Progress on last day (21-08-2019),Balance Un-electrified Households,Household Electrification (%)
536,34,Uttar Pradesh,Sitapur,479434,284477,194957,193161,12173,205334,0,0,100.0
537,34,Uttar Pradesh,Kheri,475326,354304,121022,125983,15160,141143,0,0,100.0
538,34,Uttar Pradesh,Pratapgarh,468284,350210,118074,118076,13594,131670,0,0,100.0
539,34,Uttar Pradesh,Kushinagar,468148,295517,172631,172628,6626,179254,0,0,100.0
540,34,Uttar Pradesh,Unnao,458440,262529,195911,203390,22255,225645,0,0,100.0
541,34,Uttar Pradesh,Hardoi,451609,253773,197836,204342,11274,215616,0,0,100.0
542,34,Uttar Pradesh,Ghazipur,439247,296806,142441,138528,2542,141070,0,0,100.0
543,34,Uttar Pradesh,Rae Bareli,435149,359809,75340,76722,13635,90357,0,0,100.0
544,34,Uttar Pradesh,Mahrajganj,432394,291549,140845,137920,5684,143604,0,0,100.0
545,34,Uttar Pradesh,Bahraich,421870,247876,173994,180474,33998,214472,0,0,100.0
546,34,Uttar Pradesh,Ballia,402603,264468,138135,135090,2977,138067,0,0,100.0
547,34,Uttar Pradesh,Siddharthnagar,393382,273905,119477,119477,6624,126101,0,0,100.0
548,34,Uttar Pradesh,Basti,388636,263067,125569,124846,5518,130364,0,0,100.0
549,34,Uttar Pradesh,Shahjahanpur,387297,249807,137490,135387,9859,145246,0,0,100.0
550,34,Uttar Pradesh,Sultanpur,381524,262288,119236,112926,3210,116136,0,0,100.0
551,34,Uttar Pradesh,Barabanki,359933,239627,120306,114827,5738,120565,0,0,100.0
552,34,Uttar Pradesh,Firozabad,353065,276565,76500,76500,2514,79014,0,0,100.0
553,34,Uttar Pradesh,Mathura,349829,270695,79134,79134,4664,83798,0,0,100.0
554,34,Uttar Pradesh,Faizabad,342778,241177,101601,97163,5324,102487,0,0,100.0
555,34,Uttar Pradesh,Chandauli,338223,259986,78237,78270,2777,81047,0,0,100.0
556,34,Uttar Pradesh,Gautam Buddha Nagar,333987,314073,19914,20518,3332,23850,0,0,100.0
557,34,Uttar Pradesh,Mirzapur,331374,209580,121794,120951,10575,131526,0,0,100.0
558,34,Uttar Pradesh,Sonbhadra,326060,152035,174025,168229,668,168897,0,0,100.0
559,34,Uttar Pradesh,Budaun,320306,231616,88690,89082,11393,100475,0,0,100.0
560,34,Uttar Pradesh,Mau,318930,232593,86337,86313,1535,87848,0,0,100.0
561,34,Uttar Pradesh,Rampur,318352,214166,104186,104497,6039,110536,0,0,100.0
562,34,Uttar Pradesh,Gonda,307280,173691,133589,132320,26513,158833,0,0,100.0
563,34,Uttar Pradesh,Ambedkar Nagar,306337,249185,57152,55854,1696,57550,0,0,100.0
564,34,Uttar Pradesh,Pilibhit,301855,230174,71681,70339,5761,76100,0,0,100.0
565,34,Uttar Pradesh,Jyotiba Phule Nagar,292238,213835,78403,77352,6498,83850,0,0,100.0
566,34,Uttar Pradesh,Balrampur,288846,208292,80554,76164,9872,86036,0,0,100.0
567,34,Uttar Pradesh,Jhansi,280679,226997,53682,53682,2939,56621,0,0,100.0
568,34,Uttar Pradesh,Mahamaya Nagar,279295,227399,51896,51896,2654,54550,0,0,100.0
569,34,Uttar Pradesh,Sambhal,268609,176772,91837,92869,8179,101048,0,0,100.0
570,34,Uttar Pradesh,Farrukhabad,257043,167687,89356,89750,3675,93425,0,0,100.0
571,34,Uttar Pradesh,Baghpat,246577,225722,20855,21059,3192,24251,0,0,100.0
572,34,Uttar Pradesh,Banda,239153,131690,107463,107463,669,108132,0,0,100.0
573,34,Uttar Pradesh,Jalaun,237686,148944,88742,88742,4250,92992,0,0,100.0
574,34,Uttar Pradesh,Mainpuri,235017,159494,75523,75523,8860,84383,0,0,100.0
575,34,Uttar Pradesh,Sant Kabir Nagar,231955,140336,91619,91693,3899,95592,0,0,100.0
576,34,Uttar Pradesh,Auraiya,230549,155241,75308,75308,2061,77369,0,0,100.0
577,34,Uttar Pradesh,Amethi,226963,159162,67801,61460,2632,64092,0,0,100.0
578,34,Uttar Pradesh,Shamli,217158,190544,26614,26989,1575,28564,0,0,100.0
579,34,Uttar Pradesh,Kannauj,212595,132686,79909,79909,6365,86274,0,0,100.0
580,34,Uttar Pradesh,Kanpur Dehat,208626,121094,87532,87532,5737,93269,0,0,100.0
581,34,Uttar Pradesh,Sant Ravidas Nagar (Bhadohi),204379,136425,67954,69775,2002,71777,0,0,100.0
582,34,Uttar Pradesh,Hapur,197907,164833,33074,33493,2105,35598,0,0,100.0
583,34,Uttar Pradesh,Kanpur Nagar,197412,130234,67178,67178,6641,73819,0,0,100.0
584,34,Uttar Pradesh,Etawah,196704,144828,51876,52482,1344,53826,0,0,100.0
585,34,Uttar Pradesh,Etah,183798,121449,62349,62349,7624,69973,0,0,100.0
586,34,Uttar Pradesh,Hamirpur,173485,111749,61736,61350,3199,64549,0,0,100.0
587,34,Uttar Pradesh,Kanshiram Nagar,160113,112080,48033,48033,8191,56224,0,0,100.0
588,34,Uttar Pradesh,Chitrakoot,159972,70569,89403,89403,233,89636,0,0,100.0
589,34,Uttar Pradesh,Shrawasti,156721,97879,58842,52935,1686,54621,0,0,100.0
590,34,Uttar Pradesh,Kaushambi,156498,96328,60170,60177,4275,64452,0,0,100.0
591,34,Uttar Pradesh,Lalitpur,155314,94594,60720,60106,3395,63501,0,0,100.0
592,34,Uttar Pradesh,Mahoba,154479,115436,39043,39043,3731,42774,0,0,100.0
593,35,Uttarakhand,Lucknow,951693,858417,93276,94687,1114,95801,0,0,100.0
594,35,Uttarakhand,Deoria,790813,633374,157439,157220,3414,160634,0,0,100.0
595,35,Uttarakhand,Ghaziabad,773340,754938,18402,18466,1963,20429,0,0,100.0
596,35,Uttarakhand,Gorakhpur,764505,555959,208546,208459,12525,220984,0,0,100.0
597,35,Uttarakhand,Varanasi,730769,610820,119949,122309,3071,125380,0,0,100.0
598,35,Uttarakhand,Allahabad,712128,546201,165927,178501,11061,189562,0,0,100.0
599,35,Uttarakhand,Agra,655387,597194,58193,58193,8068,66261,0,0,100.0
600,35,Uttarakhand,Saharanpur,649863,533274,116589,112726,2980,115706,0,0,100.0
601,35,Uttarakhand,Meerut,640147,586998,53149,53308,3468,56776,0,0,100.0
602,35,Uttarakhand,Jaunpur,624213,429871,194342,194238,10244,204482,0,0,100.0
603,35,Uttarakhand,Azamgarh,608591,435501,173090,172743,7108,179851,0,0,100.0
604,35,Uttarakhand,Bareilly,567893,449923,117970,130032,6718,136750,0,0,100.0
605,35,Uttarakhand,Aligarh,559704,449461,110243,110243,6654,116897,0,0,100.0
606,35,Uttarakhand,Fatehpur,535111,405203,129908,131066,13755,144821,0,0,100.0
607,35,Uttarakhand,Bulandshahar,497722,377316,120406,120882,14999,135881,0,0,100.0
608,35,Uttarakhand,Moradabad,494743,377135,117608,118136,12348,130484,0,0,100.0
609,35,Uttarakhand,Muzaffarnagar,490627,427762,62865,63056,4631,67687,0,0,100.0
610,35,Uttarakhand,Bijnor,486790,379001,107789,108340,6039,114379,0,0,100.0
611,35,Uttarakhand,Sitapur,479434,284477,194957,193161,12173,205334,0,0,100.0
612,35,Uttarakhand,Kheri,475326,354304,121022,125983,15160,141143,0,0,100.0
613,35,Uttarakhand,Pratapgarh,468284,350210,118074,118076,13594,131670,0,0,100.0
614,35,Uttarakhand,Kushinagar,468148,295517,172631,172628,6626,179254,0,0,100.0
615,35,Uttarakhand,Unnao,458440,262529,195911,203390,22255,225645,0,0,100.0
616,35,Uttarakhand,Hardoi,451609,253773,197836,204342,11274,215616,0,0,100.0
617,35,Uttarakhand,Ghazipur,439247,296806,142441,138528,2542,141070,0,0,100.0
618,35,Uttarakhand,Rae Bareli,435149,359809,75340,76722,13635,90357,0,0,100.0
619,35,Uttarakhand,Mahrajganj,432394,291549,140845,137920,5684,143604,0,0,100.0
620,35,Uttarakhand,Bahraich,421870,247876,173994,180474,33998,214472,0,0,100.0
621,35,Uttarakhand,Ballia,402603,264468,138135,135090,2977,138067,0,0,100.0
622,35,Uttarakhand,Siddharthnagar,393382,273905,119477,119477,6624,126101,0,0,100.0
623,35,Uttarakhand,Basti,388636,263067,125569,124846,5518,130364,0,0,100.0
624,35,Uttarakhand,Shahjahanpur,387297,249807,137490,135387,9859,145246,0,0,100.0
625,35,Uttarakhand,Sultanpur,381524,262288,119236,112926,3210,116136,0,0,100.0
626,35,Uttarakhand,Barabanki,359933,239627,120306,114827,5738,120565,0,0,100.0
627,35,Uttarakhand,Firozabad,353065,276565,76500,76500,2514,79014,0,0,100.0
628,35,Uttarakhand,Mathura,349829,270695,79134,79134,4664,83798,0,0,100.0
629,35,Uttarakhand,Faizabad,342778,241177,101601,97163,5324,102487,0,0,100.0
630,35,Uttarakhand,Chandauli,338223,259986,78237,78270,2777,81047,0,0,100.0
631,35,Uttarakhand,Gautam Buddha Nagar,333987,314073,19914,20518,3332,23850,0,0,100.0
632,35,Uttarakhand,Mirzapur,331374,209580,121794,120951,10575,131526,0,0,100.0
633,35,Uttarakhand,Sonbhadra,326060,152035,174025,168229,668,168897,0,0,100.0
634,35,Uttarakhand,Budaun,320306,231616,88690,89082,11393,100475,0,0,100.0
635,35,Uttarakhand,Mau,318930,232593,86337,86313,1535,87848,0,0,100.0
636,35,Uttarakhand,Rampur,318352,214166,104186,104497,6039,110536,0,0,100.0
637,35,Uttarakhand,Gonda,307280,173691,133589,132320,26513,158833,0,0,100.0
638,35,Uttarakhand,Ambedkar Nagar,306337,249185,57152,55854,1696,57550,0,0,100.0
639,35,Uttarakhand,Pilibhit,301855,230174,71681,70339,5761,76100,0,0,100.0
640,35,Uttarakhand,Jyotiba Phule Nagar,292238,213835,78403,77352,6498,83850,0,0,100.0
641,35,Uttarakhand,Balrampur,288846,208292,80554,76164,9872,86036,0,0,100.0
642,35,Uttarakhand,Jhansi,280679,226997,53682,53682,2939,56621,0,0,100.0
643,35,Uttarakhand,Mahamaya Nagar,279295,227399,51896,51896,2654,54550,0,0,100.0
644,35,Uttarakhand,Sambhal,268609,176772,91837,92869,8179,101048,0,0,100.0
645,35,Uttarakhand,Farrukhabad,257043,167687,89356,89750,3675,93425,0,0,100.0
646,35,Uttarakhand,Baghpat,246577,225722,20855,21059,3192,24251,0,0,100.0
647,35,Uttarakhand,Banda,239153,131690,107463,107463,669,108132,0,0,100.0
648,35,Uttarakhand,Jalaun,237686,148944,88742,88742,4250,92992,0,0,100.0
649,35,Uttarakhand,Mainpuri,235017,159494,75523,75523,8860,84383,0,0,100.0
650,35,Uttarakhand,Sant Kabir Nagar,231955,140336,91619,91693,3899,95592,0,0,100.0
651,35,Uttarakhand,Auraiya,230549,155241,75308,75308,2061,77369,0,0,100.0
652,35,Uttarakhand,Amethi,226963,159162,67801,61460,2632,64092,0,0,100.0
653,35,Uttarakhand,Shamli,217158,190544,26614,26989,1575,28564,0,0,100.0
654,35,Uttarakhand,Kannauj,212595,132686,79909,79909,6365,86274,0,0,100.0
655,35,Uttarakhand,Kanpur Dehat,208626,121094,87532,87532,5737,93269,0,0,100.0
656,35,Uttarakhand,Sant Ravidas Nagar (Bhadohi),204379,136425,67954,69775,2002,71777,0,0,100.0
657,35,Uttarakhand,Hapur,197907,164833,33074,33493,2105,35598,0,0,100.0
658,35,Uttarakhand,Kanpur Nagar,197412,130234,67178,67178,6641,73819,0,0,100.0
659,35,Uttarakhand,Etawah,196704,144828,51876,52482,1344,53826,0,0,100.0
660,35,Uttarakhand,Etah,183798,121449,62349,62349,7624,69973,0,0,100.0
661,35,Uttarakhand,Hamirpur,173485,111749,61736,61350,3199,64549,0,0,100.0
662,35,Uttarakhand,Kanshiram Nagar,160113,112080,48033,48033,8191,56224,0,0,100.0
663,35,Uttarakhand,Chitrakoot,159972,70569,89403,89403,233,89636,0,0,100.0
664,35,Uttarakhand,Shrawasti,156721,97879,58842,52935,1686,54621,0,0,100.0
665,35,Uttarakhand,Kaushambi,156498,96328,60170,60177,4275,64452,0,0,100.0
666,35,Uttarakhand,Lalitpur,155314,94594,60720,60106,3395,63501,0,0,100.0
667,35,Uttarakhand,Mahoba,154479,115436,39043,39043,3731,42774,0,0,100.0
668,36,West Bengal,Lucknow,951693,858417,93276,94687,1114,95801,0,0,100.0
669,36,West Bengal,Deoria,790813,633374,157439,157220,3414,160634,0,0,100.0
670,36,West Bengal,Ghaziabad,773340,754938,18402,18466,1963,20429,0,0,100.0
671,36,West Bengal,Gorakhpur,764505,555959,208546,208459,12525,220984,0,0,100.0
672,36,West Bengal,Varanasi,730769,610820,119949,122309,3071,125380,0,0,100.0
673,36,West Bengal,Allahabad,712128,546201,165927,178501,11061,189562,0,0,100.0
674,36,West Bengal,Agra,655387,597194,58193,58193,8068,66261,0,0,100.0
675,36,West Bengal,Saharanpur,649863,533274,116589,112726,2980,115706,0,0,100.0
676,36,West Bengal,Meerut,640147,586998,53149,53308,3468,56776,0,0,100.0
677,36,West Bengal,Jaunpur,624213,429871,194342,194238,10244,204482,0,0,100.0
678,36,West Bengal,Azamgarh,608591,435501,173090,172743,7108,179851,0,0,100.0
679,36,West Bengal,Bareilly,567893,449923,117970,130032,6718,136750,0,0,100.0
680,36,West Bengal,Aligarh,559704,449461,110243,110243,6654,116897,0,0,100.0
681,36,West Bengal,Fatehpur,535111,405203,129908,131066,13755,144821,0,0,100.0
682,36,West Bengal,Bulandshahar,497722,377316,120406,120882,14999,135881,0,0,100.0
683,36,West Bengal,Moradabad,494743,377135,117608,118136,12348,130484,0,0,100.0
684,36,West Bengal,Muzaffarnagar,490627,427762,62865,63056,4631,67687,0,0,100.0
685,36,West Bengal,Bijnor,486790,379001,107789,108340,6039,114379,0,0,100.0
686,36,West Bengal,Sitapur,479434,284477,194957,193161,12173,205334,0,0,100.0
687,36,West Bengal,Kheri,475326,354304,121022,125983,15160,141143,0,0,100.0
688,36,West Bengal,Pratapgarh,468284,350210,118074,118076,13594,131670,0,0,100.0
689,36,West Bengal,Kushinagar,468148,295517,172631,172628,6626,179254,0,0,100.0
690,36,West Bengal,Unnao,458440,262529,195911,203390,22255,225645,0,0,100.0
691,36,West Bengal,Hardoi,451609,253773,197836,204342,11274,215616,0,0,100.0
692,36,West Bengal,Ghazipur,439247,296806,142441,138528,2542,141070,0,0,100.0
693,36,West Bengal,Rae Bareli,435149,359809,75340,76722,13635,90357,0,0,100.0
694,36,West Bengal,Mahrajganj,432394,291549,140845,137920,5684,143604,0,0,100.0
695,36,West Bengal,Bahraich,421870,247876,173994,180474,33998,214472,0,0,100.0
696,36,West Bengal,Ballia,402603,264468,138135,135090,2977,138067,0,0,100.0
697,36,West Bengal,Siddharthnagar,393382,273905,119477,119477,6624,126101,0,0,100.0
698,36,West Bengal,Basti,388636,263067,125569,124846,5518,130364,0,0,100.0
699,36,West Bengal,Shahjahanpur,387297,249807,137490,135387,9859,145246,0,0,100.0
700,36,West Bengal,Sultanpur,381524,262288,119236,112926,3210,116136,0,0,100.0
701,36,West Bengal,Barabanki,359933,239627,120306,114827,5738,120565,0,0,100.0
702,36,West Bengal,Firozabad,353065,276565,76500,76500,2514,79014,0,0,100.0
703,36,West Bengal,Mathura,349829,270695,79134,79134,4664,83798,0,0,100.0
704,36,West Bengal,Faizabad,342778,241177,101601,97163,5324,102487,0,0,100.0
705,36,West Bengal,Chandauli,338223,259986,78237,78270,2777,81047,0,0,100.0
706,36,West Bengal,Gautam Buddha Nagar,333987,314073,19914,20518,3332,23850,0,0,100.0
707,36,West Bengal,Mirzapur,331374,209580,121794,120951,10575,131526,0,0,100.0
708,36,West Bengal,Sonbhadra,326060,152035,174025,168229,668,168897,0,0,100.0
709,36,West Bengal,Budaun,320306,231616,88690,89082,11393,100475,0,0,100.0
710,36,West Bengal,Mau,318930,232593,86337,86313,1535,87848,0,0,100.0
711,36,West Bengal,Rampur,318352,214166,104186,104497,6039,110536,0,0,100.0
712,36,West Bengal,Gonda,307280,173691,133589,132320,26513,158833,0,0,100.0
713,36,West Bengal,Ambedkar Nagar,306337,249185,57152,55854,1696,57550,0,0,100.0
714,36,West Bengal,Pilibhit,301855,230174,71681,70339,5761,76100,0,0,100.0
715,36,West Bengal,Jyotiba Phule Nagar,292238,213835,78403,77352,6498,83850,0,0,100.0
716,36,West Bengal,Balrampur,288846,208292,80554,76164,9872,86036,0,0,100.0
717,36,West Bengal,Jhansi,280679,226997,53682,53682,2939,56621,0,0,100.0
718,36,West Bengal,Mahamaya Nagar,279295,227399,51896,51896,2654,54550,0,0,100.0
719,36,West Bengal,Sambhal,268609,176772,91837,92869,8179,101048,0,0,100.0
720,36,West Bengal,Farrukhabad,257043,167687,89356,89750,3675,93425,0,0,100.0
721,36,West Bengal,Baghpat,246577,225722,20855,21059,3192,24251,0,0,100.0
722,36,West Bengal,Banda,239153,131690,107463,107463,669,108132,0,0,100.0
723,36,West Bengal,Jalaun,237686,148944,88742,88742,4250,92992,0,0,100.0
724,36,West Bengal,Mainpuri,235017,159494,75523,75523,8860,84383,0,0,100.0
725,36,West Bengal,Sant Kabir Nagar,231955,140336,91619,91693,3899,95592,0,0,100.0
726,36,West Bengal,Auraiya,230549,155241,75308,75308,2061,77369,0,0,100.0
727,36,West Bengal,Amethi,226963,159162,67801,61460,2632,64092,0,0,100.0
728,36,West Bengal,Shamli,217158,190544,26614,26989,1575,28564,0,0,100.0
729,36,West Bengal,Kannauj,212595,132686,79909,79909,6365,86274,0,0,100.0
730,36,West Bengal,Kanpur Dehat,208626,121094,87532,87532,5737,93269,0,0,100.0
731,36,West Bengal,Sant Ravidas Nagar (Bhadohi),204379,136425,67954,69775,2002,71777,0,0,100.0
732,36,West Bengal,Hapur,197907,164833,33074,33493,2105,35598,0,0,100.0
733,36,West Bengal,Kanpur Nagar,197412,130234,67178,67178,6641,73819,0,0,100.0
734,36,West Bengal,Etawah,196704,144828,51876,52482,1344,53826,0,0,100.0
735,36,West Bengal,Etah,183798,121449,62349,62349,7624,69973,0,0,100.0
736,36,West Bengal,Hamirpur,173485,111749,61736,61350,3199,64549,0,0,100.0
737,36,West Bengal,Kanshiram Nagar,160113,112080,48033,48033,8191,56224,0,0,100.0
738,36,West Bengal,Chitrakoot,159972,70569,89403,89403,233,89636,0,0,100.0
739,36,West Bengal,Shrawasti,156721,97879,58842,52935,1686,54621,0,0,100.0
740,36,West Bengal,Kaushambi,156498,96328,60170,60177,4275,64452,0,0,100.0
741,36,West Bengal,Lalitpur,155314,94594,60720,60106,3395,63501,0,0,100.0
742,36,West Bengal,Mahoba,154479,115436,39043,39043,3731,42774,0,0,100.0
