,Address,Age of Construction,Area,Authority Approval,Balcony,Bathrooms,Bedrooms,Car parking,Carpet area,Facing,Floor,Flooring,Furnished status,Furnishing,Landmarks,Lift,Overlooking,Price,RERA ID,Status,Status of Electricity,Store Room,Super area,Transaction type,Type of Ownership,Water Availability,flat Size
76,,,PARNEWA,,,,,,,,,,,,,,,,,,,,,,,,
77,,,PAHROO,,,,,,,,,,,,,,,,,,,,,,,,
78,,,BEERWAH,,,,,,,,,,,,,,,,,,,,,,,,
79,,,KRALPORA,,,,,,,,,,,,,,,,,,,,,,,,
80,,,MAGAM  BUDGAM,,,,,,,,,,,,,,,,,,,,,,,,
81,,,WATHOORA,,,,,,,,,,,,,,,,,,,,,,,,
82,,,RAWALPORA KHANSAHIB,,,,,,,,,,,,,,,,,,,,,,,,
83,,,SOIBUGH,,,,,,,,,,,,,,,,,,,,,,,,
84,,,CHARRIPORA,,,,,,,,,,,,,,,,,,,,,,,,
85,,,WATERHAL,,,,,,,,,,,,,,,,,,,,,,,,
86,,,CHANNI HIMMAT (JAMMU),,,,,,,,,,,,,,,,,,,,,,,,
87,,,"CHOWLGAM, DISTT. KULGAM (J&K)",,,,,,,,,,,,,,,,,,,,,,,,
88,,,DEWAN BADRI NATH VIDYA MANDIR,,,,,,,,,,,,,,,,,,,,,,,,
89,,,"DHANNI,DISTT. KATHUA (J &K )",,,,,,,,,,,,,,,,,,,,,,,,
90,,,"DHAR ROAD, UDHAMPUR",,,,,,,,,,,,,,,,,,,,,,,,
91,,,BEBROTA,,,,,,,,,,,,,,,,,,,,,,,,
92,,,CHINTA,,,,,,,,,,,,,,,,,,,,,,,,
93,,,CHINGAM,,,,,,,,,,,,,,,,,,,,,,,,
94,,,GAI DESSA,,,,,,,,,,,,,,,,,,,,,,,,
95,,,BHADERWAH,,,,,,,,,,,,,,,,,,,,,,,,
96,,,KISHATWAR,,,,,,,,,,,,,,,,,,,,,,,,
97,,,"DANDAL, DODA",,,,,,,,,,,,,,,,,,,,,,,,
98,,,GAJOTH,,,,,,,,,,,,,,,,,,,,,,,,
99,,,"GUNDANA, DODA",,,,,,,,,,,,,,,,,,,,,,,,
100,,,PRANOO,,,,,,,,,,,,,,,,,,,,,,,,
101,,,ZONAL OFFICE JAMMU NORTH DODA,,,,,,,,,,,,,,,,,,,,,,,,
102,,,THATHRI,,,,,,,,,,,,,,,,,,,,,,,,
103,,,PREMNAGAR,,,,,,,,,,,,,,,,,,,,,,,,
104,,,BHARGI,,,,,,,,,,,,,,,,,,,,,,,,
105,,,DUDWAR,,,,,,,,,,,,,,,,,,,,,,,,
106,,,KHELLANI,,,,,,,,,,,,,,,,,,,,,,,,
107,,,BATOTE,,,,,,,,,,,,,,,,,,,,,,,,
108,,,"BHADERWAH, DISTT. DODA (J&K)",,,,,,,,,,,,,,,,,,,,,,,,
109,,,BATWINA GANDERBAL,,,,,,,,,,,,,,,,,,,,,,,,
110,,,DAB,,,,,,,,,,,,,,,,,,,,,,,,
111,,,"POWER HOUSE ROAD, GANDERBAL",,,,,,,,,,,,,,,,,,,,,,,,
112,,,DORSUMA MANIGAM,,,,,,,,,,,,,,,,,,,,,,,,
113,,,MANIGAM,,,,,,,,,,,,,,,,,,,,,,,,
114,,,SAIDPORA BALA,,,,,,,,,,,,,,,,,,,,,,,,
115,,,"HIRANAGAR, DISTT. KATHUA (J &",,,,,,,,,,,,,,,,,,,,,,,,
116,,,C/CHEST B/O ANANTNAG,,,,,,,,,,,,,,,,,,,,,,,,
117,,,"P.C.DEPOT,QAMARWARI,SRINAGAR",,,,,,,,,,,,,,,,,,,,,,,,
118,,,C/CHEST B/O SRINAGAR BADAMI BA,,,,,,,,,,,,,,,,,,,,,,,,
119,,,"KATHUA, COLLEGE ROAD",,,,,,,,,,,,,,,,,,,,,,,,
120,,,C/CHEST B/O JAMMU GANDHI NGR,,,,,,,,,,,,,,,,,,,,,,,,
121,,,C/CHEST B/O JAMMU TAWI SAL RD,,,,,,,,,,,,,,,,,,,,,,,,
122,,,"SRINAGAR, KHANYAR",,,,,,,,,,,,,,,,,,,,,,,,
123,,,MAL MANDI RAJOURI,,,,,,,,,,,,,,,,,,,,,,,,
124,,,"BASOHLI, DISTT. KATHUA (J & K)",,,,,,,,,,,,,,,,,,,,,,,,
125,,,"AKHNOOR CANTT,MS COMP.RAV LINE",,,,,,,,,,,,,,,,,,,,,,,,
126,,,R S PURA,,,,,,,,,,,,,,,,,,,,,,,,
127,,,C/CHEST L/OFF JAMMU GANDHI NGR,,,,,,,,,,,,,,,,,,,,,,,,
128,,,MANDA,,,,,,,,,,,,,,,,,,,,,,,,
129,,,SUNGAL,,,,,,,,,,,,,,,,,,,,,,,,
130,,,CITIZENS COOP BANK JAMMU AKHNOOR,,,,,,,,,,,,,,,,,,,,,,,,
131,,,BARI BRAHMANA (NOWHATTA),,,,,,,,,,,,,,,,,,,,,,,,
132,,,BISHNAH,,,,,,,,,,,,,,,,,,,,,,,,
133,,,ALLAH BISHNAH,,,,,,,,,,,,,,,,,,,,,,,,
134,,,PALLI MORH,,,,,,,,,,,,,,,,,,,,,,,,
135,,,MAJUA UTTAMI,,,,,,,,,,,,,,,,,,,,,,,,
136,,,CITIZENS COOP BANK JAMMU CHANIHIMAT,,,,,,,,,,,,,,,,,,,,,,,,
137,,,CHOWKI CHAURA,,,,,,,,,,,,,,,,,,,,,,,,
138,,,JAMMU,,,,,,,,,,,,,,,,,,,,,,,,
139,,,JAMMU DIGIANA,,,,,,,,,,,,,,,,,,,,,,,,
140,,,GAJANSOO,,,,,,,,,,,,,,,,,,,,,,,,
141,,,"GANDHINAGAR, JAMMU",,,,,,,,,,,,,,,,,,,,,,,,
142,,,CITIZENS COOP BANK JAMMU GANYAL,,,,,,,,,,,,,,,,,,,,,,,,
143,,,GHOU MANHASSAN,,,,,,,,,,,,,,,,,,,,,,,,
