,Address,Age of Construction,Area,Authority Approval,Balcony,Bathrooms,Bedrooms,Car parking,Carpet area,Facing,Floor,Flooring,Furnished status,Furnishing,Landmarks,Lift,Overlooking,Price,RERA ID,Status,Status of Electricity,Store Room,Super area,Transaction type,Type of Ownership,Water Availability,flat Size
317,,,BAKSHI NAGAR JAMMU,,,,,,,,,,,,,,,,,,,,,,,,
318,,,RCC JAMMU,,,,,,,,,,,,,,,,,,,,,,,,
319,,,CHANDNAGAR JAMMU,,,,,,,,,,,,,,,,,,,,,,,,
320,,,JAMMU CHANNI HIMMAT,,,,,,,,,,,,,,,,,,,,,,,,
321,,,CHOWK CHABUTRA JAMMU,,,,,,,,,,,,,,,,,,,,,,,,
322,,,"JAMMU, JAIN BAZAR",,,,,,,,,,,,,,,,,,,,,,,,
323,,,KACHI CHAWNI JAMMU,,,,,,,,,,,,,,,,,,,,,,,,
324,,,LAKHDATTA BAZAR JAMMU,,,,,,,,,,,,,,,,,,,,,,,,
325,,,LINK ROAD JAMMU,,,,,,,,,,,,,,,,,,,,,,,,
326,,,GOVERNMENT MEDICAL COLLEGE  JAMMU,,,,,,,,,,,,,,,,,,,,,,,,
327,,,NEHRU MARKET JAMMU,,,,,,,,,,,,,,,,,,,,,,,,
328,,,PATEL NAGAR JAMMU,,,,,,,,,,,,,,,,,,,,,,,,
329,,,RESIDENCY ROAD JAMMU,,,,,,,,,,,,,,,,,,,,,,,,
330,,,SHALAMAR ROAD JAMMU,,,,,,,,,,,,,,,,,,,,,,,,
331,,,"JAMMU TAWI SHALIMAR ROAD, DIST",,,,,,,,,,,,,,,,,,,,,,,,
332,,,TOWN HALL JAMMU,,,,,,,,,,,,,,,,,,,,,,,,
333,,,UPPER GUMMAT JAMMU,,,,,,,,,,,,,,,,,,,,,,,,
334,,,JAMMU MID CORPORATE,,,,,,,,,,,,,,,,,,,,,,,,
335,,,SATWARI,,,,,,,,,,,,,,,,,,,,,,,,
336,,,SOPORE (KASHMIR),,,,,,,,,,,,,,,,,,,,,,,,
337,,,"BARAMULLA, DISTT BANDIPORA J&K",,,,,,,,,,,,,,,,,,,,,,,,
338,,,BIJBEHARA (KASHMIR),,,,,,,,,,,,,,,,,,,,,,,,
339,,,"THEIN, DISTT. KATHUA (J&K)",,,,,,,,,,,,,,,,,,,,,,,,
340,,,"REASI,MAIN BAZAR",,,,,,,,,,,,,,,,,,,,,,,,
341,,,"BARMEEN,DISTT. UDHAMPUR (J & K",,,,,,,,,,,,,,,,,,,,,,,,
342,,,"GORDHI, DISTT. UDHAMPUR (J & K",,,,,,,,,,,,,,,,,,,,,,,,
343,,,"AGHORE, DISTT. JAMMU (J & K)",,,,,,,,,,,,,,,,,,,,,,,,
344,,,JAMMU JAMMU & KASHMIR,,,,,,,,,,,,,,,,,,,,,,,,
345,,,AKCHAMAL,,,,,,,,,,,,,,,,,,,,,,,,
346,,,PUSKYUM,,,,,,,,,,,,,,,,,,,,,,,,
347,,,SHARGOL,,,,,,,,,,,,,,,,,,,,,,,,
348,,,KARGIL LADAAKH,,,,,,,,,,,,,,,,,,,,,,,,
349,,,KHUMBTHANG,,,,,,,,,,,,,,,,,,,,,,,,
350,,,"BANI, DIST KATHUA",,,,,,,,,,,,,,,,,,,,,,,,
351,,,MARTA NAGROTA,,,,,,,,,,,,,,,,,,,,,,,,
352,,,"KATHUA,JAMMU & KASHMIR",,,,,,,,,,,,,,,,,,,,,,,,
353,,,JAMMU CHAK DIYALLA,,,,,,,,,,,,,,,,,,,,,,,,
354,,,JAMMU NARWAL,,,,,,,,,,,,,,,,,,,,,,,,
355,,,"KATHUA, JAMMU & KASHMIR",,,,,,,,,,,,,,,,,,,,,,,,
356,,,"DINGA AMB, KATHUA",,,,,,,,,,,,,,,,,,,,,,,,
357,,,ZONAL OFFICE JAMMU CENTRAL TWO,,,,,,,,,,,,,,,,,,,,,,,,
358,,,RAJPURA,,,,,,,,,,,,,,,,,,,,,,,,
359,,,DAYALACHAK,,,,,,,,,,,,,,,,,,,,,,,,
360,,,KALIBARI KATHUA,,,,,,,,,,,,,,,,,,,,,,,,
361,,,ADB KATHUA,,,,,,,,,,,,,,,,,,,,,,,,
362,,,COLLEGE ROAD KATHUA,,,,,,,,,,,,,,,,,,,,,,,,
363,,,INDUSTRIAL ESTATE KATHUA,,,,,,,,,,,,,,,,,,,,,,,,
364,,,KALIBARI,,,,,,,,,,,,,,,,,,,,,,,,
365,,,KATHUA,,,,,,,,,,,,,,,,,,,,,,,,
366,,,KATRA  JAMMU,,,,,,,,,,,,,,,,,,,,,,,,
367,,,KATRA,,,,,,,,,,,,,,,,,,,,,,,,
368,,,BOUNJWAH(BINOON,,,,,,,,,,,,,,,,,,,,,,,,
369,,,"MINI-SECRETARIAT, KISHTWAR",,,,,,,,,,,,,,,,,,,,,,,,
370,,,"SHIV NAGAR, DHARBADAN",,,,,,,,,,,,,,,,,,,,,,,,
371,,,TIYARI KISHTWAR,,,,,,,,,,,,,,,,,,,,,,,,
372,,,HELIPAD KISTWAR,,,,,,,,,,,,,,,,,,,,,,,,
373,,,HIDYAL,,,,,,,,,,,,,,,,,,,,,,,,
374,,,KULEED,,,,,,,,,,,,,,,,,,,,,,,,
375,,,ASHMUJI,,,,,,,,,,,,,,,,,,,,,,,,
376,,,FRUIT MANDI KULGAM,,,,,,,,,,,,,,,,,,,,,,,,
377,,,BUNIGAM,,,,,,,,,,,,,,,,,,,,,,,,
378,,,"GOPALPORA, KULGAM",,,,,,,,,,,,,,,,,,,,,,,,
379,,,KILLAM,,,,,,,,,,,,,,,,,,,,,,,,
380,,,TARIGAM,,,,,,,,,,,,,,,,,,,,,,,,
381,,,NILLOW,,,,,,,,,,,,,,,,,,,,,,,,
382,,,MUNAND GUFFAN,,,,,,,,,,,,,,,,,,,,,,,,
383,,,CHOWGAM,,,,,,,,,,,,,,,,,,,,,,,,
384,,,WALTENGO,,,,,,,,,,,,,,,,,,,,,,,,
385,,,"KULGAM, DISTT. ANANTNAG (J & K",,,,,,,,,,,,,,,,,,,,,,,,
386,,,ARAMPORA,,,,,,,,,,,,,,,,,,,,,,,,
387,,,REGIPORA,,,,,,,,,,,,,,,,,,,,,,,,
388,,,HALMATPORA,,,,,,,,,,,,,,,,,,,,,,,,
389,,,HARAI,,,,,,,,,,,,,,,,,,,,,,,,
390,,,GAGAL,,,,,,,,,,,,,,,,,,,,,,,,
391,,,HANDWARA,,,,,,,,,,,,,,,,,,,,,,,,
392,,,KULIGAM,,,,,,,,,,,,,,,,,,,,,,,,
393,,,NEGRIMALPORA KUPAWRA,,,,,,,,,,,,,,,,,,,,,,,,
394,,,ASHIPORA,,,,,,,,,,,,,,,,,,,,,,,,
395,,,DEVAR,,,,,,,,,,,,,,,,,,,,,,,,
396,,,KARNAH,,,,,,,,,,,,,,,,,,,,,,,,
397,,,TARATHPORA,,,,,,,,,,,,,,,,,,,,,,,,
398,,,KRALGUND,,,,,,,,,,,,,,,,,,,,,,,,
399,,,YOUNUS WAHIPORA,,,,,,,,,,,,,,,,,,,,,,,,
400,,,KUPWARA,,,,,,,,,,,,,,,,,,,,,,,,
401,,,"LEH,LADAKH",,,,,,,,,,,,,,,,,,,,,,,,
402,,,TANGSAY,,,,,,,,,,,,,,,,,,,,,,,,
403,,,ZONAL OFFICE LEH,,,,,,,,,,,,,,,,,,,,,,,,
404,,,MOTI MARKET LEH,,,,,,,,,,,,,,,,,,,,,,,,
405,,,PANAMIK,,,,,,,,,,,,,,,,,,,,,,,,
406,,,SHEY,,,,,,,,,,,,,,,,,,,,,,,,
407,,,UPSHI LEH,,,,,,,,,,,,,,,,,,,,,,,,
408,,,LEHTOWN,,,,,,,,,,,,,,,,,,,,,,,,
409,,,SASPOL,,,,,,,,,,,,,,,,,,,,,,,,
410,,,CHOGLAMSAR,,,,,,,,,,,,,,,,,,,,,,,,
411,,,LEH-LADAKH,,,,,,,,,,,,,,,,,,,,,,,,
412,,,T.C.A LEH,,,,,,,,,,,,,,,,,,,,,,,,
413,,,NIMU,,,,,,,,,,,,,,,,,,,,,,,,
414,,,"MATSTLANG, KARU",,,,,,,,,,,,,,,,,,,,,,,,
415,,,FIRE AND FURY,,,,,,,,,,,,,,,,,,,,,,,,
416,,,SNM HOSPITAL LEH,,,,,,,,,,,,,,,,,,,,,,,,
417,,,BOGDANG,,,,,,,,,,,,,,,,,,,,,,,,
418,,,HANDWARA (J&K),,,,,,,,,,,,,,,,,,,,,,,,
419,,,FRUIT MANDI SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
420,,,"MATTAN, DISTT. ANANTNAG (J & K",,,,,,,,,,,,,,,,,,,,,,,,
421,,,MIRAN SAHIB,,,,,,,,,,,,,,,,,,,,,,,,
422,,,NAGBANI,,,,,,,,,,,,,,,,,,,,,,,,
423,,,KISHTWAR,,,,,,,,,,,,,,,,,,,,,,,,
424,,,JAMMU BYE PASS,,,,,,,,,,,,,,,,,,,,,,,,
425,,,"PHRISAL, DISTT. KULGAM  (J &K)",,,,,,,,,,,,,,,,,,,,,,,,
426,,,LORAN,,,,,,,,,,,,,,,,,,,,,,,,
427,,,SATHRA,,,,,,,,,,,,,,,,,,,,,,,,
428,,,BHATA DHURIA,,,,,,,,,,,,,,,,,,,,,,,,
429,,,SAKHIMAIDAN,,,,,,,,,,,,,,,,,,,,,,,,
430,,,SANGLA CHOWK,,,,,,,,,,,,,,,,,,,,,,,,
431,,,BALAKOTE,,,,,,,,,,,,,,,,,,,,,,,,
432,,,BUS STAND POONCH,,,,,,,,,,,,,,,,,,,,,,,,
433,,,BUFLIAZ POONCH,,,,,,,,,,,,,,,,,,,,,,,,
434,,,"KHANETAR KANUYIAN, POONCH",,,,,,,,,,,,,,,,,,,,,,,,
435,,,SHERI-KASHMIR BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,
436,,,SAMOTE,,,,,,,,,,,,,,,,,,,,,,,,
437,,,"POONCH,MAIN BAZAR (J&K)",,,,,,,,,,,,,,,,,,,,,,,,
438,,,AWANTIPORA,,,,,,,,,,,,,,,,,,,,,,,,
439,,,CHERSOO,,,,,,,,,,,,,,,,,,,,,,,,
440,,,MAIN MARKET AWANTIPORA,,,,,,,,,,,,,,,,,,,,,,,,
441,,,AWANTIPUR,,,,,,,,,,,,,,,,,,,,,,,,
442,,,FRUIT MANDI PRICHOO,,,,,,,,,,,,,,,,,,,,,,,,
443,,,MIGRANT COLONY HAAL,,,,,,,,,,,,,,,,,,,,,,,,
444,,,NEHAMA PULWAMA,,,,,,,,,,,,,,,,,,,,,,,,
445,,,MURRAN PULWAMA,,,,,,,,,,,,,,,,,,,,,,,,
446,,,KAREEMABAD,,,,,,,,,,,,,,,,,,,,,,,,
447,,,JKEDI PAMPORE,,,,,,,,,,,,,,,,,,,,,,,,
448,,,WUYAN,,,,,,,,,,,,,,,,,,,,,,,,
449,,,"PAMPORE, JAMMU & KASHMIR",,,,,,,,,,,,,,,,,,,,,,,,
450,,,LARIK PORA,,,,,,,,,,,,,,,,,,,,,,,,
451,,,PARIGAM,,,,,,,,,,,,,,,,,,,,,,,,
452,,,ACHEN,,,,,,,,,,,,,,,,,,,,,,,,
453,,,PANZGAM PULWAMA,,,,,,,,,,,,,,,,,,,,,,,,
454,,,SAMBOORA PULWAMA,,,,,,,,,,,,,,,,,,,,,,,,
455,,,TIKEN BATAPORA,,,,,,,,,,,,,,,,,,,,,,,,
456,,,"TOKUNA, PULWAMA",,,,,,,,,,,,,,,,,,,,,,,,
457,,,TUMLAHAL PULWAMA,,,,,,,,,,,,,,,,,,,,,,,,
458,,,WAHIBUGH PULWAMA,,,,,,,,,,,,,,,,,,,,,,,,
459,,,"WASHBUG, PULWAMA",,,,,,,,,,,,,,,,,,,,,,,,
460,,,ZONAL OFFICE SOUTH PULWAMA,,,,,,,,,,,,,,,,,,,,,,,,
461,,,SHOPIAN,,,,,,,,,,,,,,,,,,,,,,,,
462,,,ABHAMA,,,,,,,,,,,,,,,,,,,,,,,,
463,,,SHADMAN COMPLEX - SHOPIAN,,,,,,,,,,,,,,,,,,,,,,,,
464,,,CHITRAGAM,,,,,,,,,,,,,,,,,,,,,,,,
465,,,ARIPAL,,,,,,,,,,,,,,,,,,,,,,,,
466,,,PINGLIN,,,,,,,,,,,,,,,,,,,,,,,,
467,,,PAMPORE,,,,,,,,,,,,,,,,,,,,,,,,
468,,,PULWAMA (J & K0,,,,,,,,,,,,,,,,,,,,,,,,
469,,,"JAMMU RCC, DISTT. JAMMU (J & K",,,,,,,,,,,,,,,,,,,,,,,,
470,,,SRINAGAR - HARI SINGH HIGH STREET,,,,,,,,,,,,,,,,,,,,,,,,
471,,,"KOTLI ARJUN SINGH , J&K",,,,,,,,,,,,,,,,,,,,,,,,
472,,,NOWSHERA,,,,,,,,,,,,,,,,,,,,,,,,
473,,,ARMY DIV HQ RAJOURI,,,,,,,,,,,,,,,,,,,,,,,,
474,,,RAJOURI,,,,,,,,,,,,,,,,,,,,,,,,
475,,,CHOWKI HANDAN,,,,,,,,,,,,,,,,,,,,,,,,
476,,,PALMA,,,,,,,,,,,,,,,,,,,,,,,,
477,,,JAWAHAR NAGAR - RAJOURI,,,,,,,,,,,,,,,,,,,,,,,,
478,,,BUS STAND MENDHER,,,,,,,,,,,,,,,,,,,,,,,,
479,,,KALLAR,,,,,,,,,,,,,,,,,,,,,,,,
480,,,KERI TERYATH,,,,,,,,,,,,,,,,,,,,,,,,
481,,,LAMBERI,,,,,,,,,,,,,,,,,,,,,,,,
482,,,"LOHARAKOTE, SUNDERBANI",,,,,,,,,,,,,,,,,,,,,,,,
483,,,MURADPUR RAJOURI,,,,,,,,,,,,,,,,,,,,,,,,
484,,,PHALIANA,,,,,,,,,,,,,,,,,,,,,,,,
485,,,SHAHDRA SHARIEF,,,,,,,,,,,,,,,,,,,,,,,,
486,,,TANDWAL,,,,,,,,,,,,,,,,,,,,,,,,
487,,,ZONAL OFFICE JAMMU WEST RAJOURI,,,,,,,,,,,,,,,,,,,,,,,,
488,,,THANAMANDI,,,,,,,,,,,,,,,,,,,,,,,,
489,,,JAWAHAR NAGAR RAJOURI,,,,,,,,,,,,,,,,,,,,,,,,
490,,,BALSHAMA,,,,,,,,,,,,,,,,,,,,,,,,
491,,,BUDHAL,,,,,,,,,,,,,,,,,,,,,,,,
492,,,SAJ RAJOURI,,,,,,,,,,,,,,,,,,,,,,,,
493,,,KHARI,,,,,,,,,,,,,,,,,,,,,,,,
494,,,RAMBAN,,,,,,,,,,,,,,,,,,,,,,,,
495,,,CHAMALWAS RAMBAN,,,,,,,,,,,,,,,,,,,,,,,,
496,,,TETHAR,,,,,,,,,,,,,,,,,,,,,,,,
497,,,KASKOOT,,,,,,,,,,,,,,,,,,,,,,,,
498,,,RAMGARH,,,,,,,,,,,,,,,,,,,,,,,,
499,,,AGHARJITTO,,,,,,,,,,,,,,,,,,,,,,,,
500,,,MAHORE,,,,,,,,,,,,,,,,,,,,,,,,
501,,,DC OFFICE REASI,,,,,,,,,,,,,,,,,,,,,,,,
502,,,ADH KUWARI,,,,,,,,,,,,,,,,,,,,,,,,
503,,,NANDANI HILLS SAMBA,,,,,,,,,,,,,,,,,,,,,,,,
504,,,BISHNA,,,,,,,,,,,,,,,,,,,,,,,,
505,,,BARI BRAHMANA,,,,,,,,,,,,,,,,,,,,,,,,
506,,,MEAN CHARKAH,,,,,,,,,,,,,,,,,,,,,,,,
507,,,BARIBRAHMANA,,,,,,,,,,,,,,,,,,,,,,,,
508,,,JATWAL,,,,,,,,,,,,,,,,,,,,,,,,
509,,,RAHYA,,,,,,,,,,,,,,,,,,,,,,,,
510,,,SAMBA  SME,,,,,,,,,,,,,,,,,,,,,,,,
511,,,VIJAYPORE,,,,,,,,,,,,,,,,,,,,,,,,
512,,,BARI BRAHAMNA,,,,,,,,,,,,,,,,,,,,,,,,
513,,,RAMGARH,,,,,,,,,,,,,,,,,,,,,,,,
514,,,SURARA,,,,,,,,,,,,,,,,,,,,,,,,
515,,,MANSAR,,,,,,,,,,,,,,,,,,,,,,,,
516,,,VIJAYPUR KOTHEY,,,,,,,,,,,,,,,,,,,,,,,,
517,,,RAJPURA,,,,,,,,,,,,,,,,,,,,,,,,
518,,,IC BARI BRAHAMNA,,,,,,,,,,,,,,,,,,,,,,,,
519,,,VIJAYPUR,,,,,,,,,,,,,,,,,,,,,,,,
520,,,SAMROLI (J & K),,,,,,,,,,,,,,,,,,,,,,,,
521,,,RAWALPURA,,,,,,,,,,,,,,,,,,,,,,,,
522,,,"SHADIPORA, DISTT. BARAMULLA (J",,,,,,,,,,,,,,,,,,,,,,,,
523,,,CHECKI-CHOLAN,,,,,,,,,,,,,,,,,,,,,,,,
524,,,KUMDALAN SHOPIAN,,,,,,,,,,,,,,,,,,,,,,,,
525,,,NAGABAL,,,,,,,,,,,,,,,,,,,,,,,,
526,,,WACHI,,,,,,,,,,,,,,,,,,,,,,,,
527,,,RATNIPORA SHOPIAN,,,,,,,,,,,,,,,,,,,,,,,,
528,,,BATAPORA,,,,,,,,,,,,,,,,,,,,,,,,
529,,,COURT ROAD SHOPIAN,,,,,,,,,,,,,,,,,,,,,,,,
530,,,DK PORA SHOPIAN,,,,,,,,,,,,,,,,,,,,,,,,
531,,,"HEFF, SHOPIAN",,,,,,,,,,,,,,,,,,,,,,,,
532,,,ARAHAMA,,,,,,,,,,,,,,,,,,,,,,,,
533,,,KEYGAM,,,,,,,,,,,,,,,,,,,,,,,,
534,,,KAPRIN,,,,,,,,,,,,,,,,,,,,,,,,
535,,,GENERAL BUS STAND BATAMALOO,,,,,,,,,,,,,,,,,,,,,,,,
536,,,MUJIGUND,,,,,,,,,,,,,,,,,,,,,,,,
537,,,GANDERBAL,,,,,,,,,,,,,,,,,,,,,,,,
538,,,ADB TULLAMULLA,,,,,,,,,,,,,,,,,,,,,,,,
539,,,GUND HASSI BHAT,,,,,,,,,,,,,,,,,,,,,,,,
540,,,KARANNAGAR SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
541,,,PALPORA,,,,,,,,,,,,,,,,,,,,,,,,
542,,,SRINAGAR BRARI NUMBLE,,,,,,,,,,,,,,,,,,,,,,,,
543,,,JAMMU AND KASHMIR STATE COOP BANK,,,,,,,,,,,,,,,,,,,,,,,,
544,,,"DURGANAG, SRINAGAR (J & K)",,,,,,,,,,,,,,,,,,,,,,,,
545,,,"B R ROAD MAIN,SRINAGAR",,,,,,,,,,,,,,,,,,,,,,,,
546,,,"BADSHAH CHOWK,SRINAGAR",,,,,,,,,,,,,,,,,,,,,,,,
547,,,SRINAGAR CHANAPORA,,,,,,,,,,,,,,,,,,,,,,,,
548,,,"KHANYAR, SRINAGAR",,,,,,,,,,,,,,,,,,,,,,,,
549,,,"RAJBAGH, SRINAGAR",,,,,,,,,,,,,,,,,,,,,,,,
550,,,"NOWGRAM, SRINAGAR",,,,,,,,,,,,,,,,,,,,,,,,
551,,,BEMINA - SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
552,,,ALAMGIRI,,,,,,,,,,,,,,,,,,,,,,,,
553,,,SOURA - SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
554,,,CHAANPURA - SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
555,,,PANTHA CHOWK - SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
556,,,MUNAWARABADI - SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
557,,,QAMARWARI,,,,,,,,,,,,,,,,,,,,,,,,
558,,,BREIN,,,,,,,,,,,,,,,,,,,,,,,,
559,,,DAARA,,,,,,,,,,,,,,,,,,,,,,,,
560,,,MALRU,,,,,,,,,,,,,,,,,,,,,,,,
561,,,BOMBAY MERCANTILE CO OP BANK LTD,,,,,,,,,,,,,,,,,,,,,,,,
562,,,IG ROAD SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
563,,,AHMAD NAGAR,,,,,,,,,,,,,,,,,,,,,,,,
564,,,BALLAHAMA,,,,,,,,,,,,,,,,,,,,,,,,
565,,,BOULEVARD ROAD SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
566,,,HABBAK CROSSING,,,,,,,,,,,,,,,,,,,,,,,,
567,,,INDUSTRIAL ESTATE ZAINAKOTE,,,,,,,,,,,,,,,,,,,,,,,,
568,,,LADIES BRANCH JAWAHAR NAGAR,,,,,,,,,,,,,,,,,,,,,,,,
569,,,GOVERNMENT BUSINESS LINK OFFICE CORPORATE HEADQUARTERS,,,,,,,,,,,,,,,,,,,,,,,,
570,,,MAGARMAL BAGH SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
571,,,PC DEPOT SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
572,,,SHUHAMA ALUSTENG,,,,,,,,,,,,,,,,,,,,,,,,
573,,,SAIDA KADAL,,,,,,,,,,,,,,,,,,,,,,,,
574,,,ZONAL OFFICE KASHMIR CENTRAL,,,,,,,,,,,,,,,,,,,,,,,,
575,,,ZONAL OFFICE KASHMIR CENTRAL TWO,,,,,,,,,,,,,,,,,,,,,,,,
576,,,SRIANAGAR FRUIT  MANDI,,,,,,,,,,,,,,,,,,,,,,,,
577,,,BURZULLA SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
578,,,RBO IV SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
579,,,BREIN SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
580,,,SHALIMAR SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
581,,,"LAL BAZAR, SRINAGAR",,,,,,,,,,,,,,,,,,,,,,,,
582,,,BEMINA SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
583,,,CHANAPORA,,,,,,,,,,,,,,,,,,,,,,,,
584,,,"SBIINTOUCH, CENTRAL UNIVERSITY, NOWGAM",,,,,,,,,,,,,,,,,,,,,,,,
585,,,HYDERPORA  PEER BAGH,,,,,,,,,,,,,,,,,,,,,,,,
586,,,SOURA,,,,,,,,,,,,,,,,,,,,,,,,
587,,,JAWAHAR NGR,,,,,,,,,,,,,,,,,,,,,,,,
588,,,PBB SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
589,,,ELLAQUAI DEHATI BANK RRB,,,,,,,,,,,,,,,,,,,,,,,,
590,,,AIR FIELD SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
591,,,R E C SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
592,,,SANAT NAGAR SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
593,,,RAINWARI,,,,,,,,,,,,,,,,,,,,,,,,
594,,,ZAINAKADAL,,,,,,,,,,,,,,,,,,,,,,,,
595,,,SRINAGAR MAIN,,,,,,,,,,,,,,,,,,,,,,,,
596,,,BADAMI BAGH CANTT SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
597,,,"TOURIST RECEPTION CENTRE, SRINAGAR",,,,,,,,,,,,,,,,,,,,,,,,
598,,,REGIONAL BUSINESS OFFICE SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
599,,,"AG,S OFFICE BATMALOO SRINAGAR",,,,,,,,,,,,,,,,,,,,,,,,
600,,,BARZULLA I.E,,,,,,,,,,,,,,,,,,,,,,,,
601,,,HAZRATBAL,,,,,,,,,,,,,,,,,,,,,,,,
602,,,MALROO,,,,,,,,,,,,,,,,,,,,,,,,
603,,,BARZULLA SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
604,,,UNIVERSITY CAMPUS HAZRATBAL(NANDPORA),,,,,,,,,,,,,,,,,,,,,,,,
605,,,J&K POLICE HEADQUARTERS,,,,,,,,,,,,,,,,,,,,,,,,
606,,,SKIMSS SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
607,,,CHATTABAL,,,,,,,,,,,,,,,,,,,,,,,,
608,,,COMMERCIAL TAXES DEPARTMENT,,,,,,,,,,,,,,,,,,,,,,,,
609,,,CHQ,,,,,,,,,,,,,,,,,,,,,,,,
610,,,SRINAGAR  JK,,,,,,,,,,,,,,,,,,,,,,,,
611,,,DALGATE,,,,,,,,,,,,,,,,,,,,,,,,
612,,,"NATIPORA, DISTT. BADGAM (J & K",,,,,,,,,,,,,,,,,,,,,,,,
613,,,"JAWAHAR NAGAR, SRINAGAR",,,,,,,,,,,,,,,,,,,,,,,,
614,,,"AMIRAKADAL SRINAGAR, DISTT. SR",,,,,,,,,,,,,,,,,,,,,,,,
615,,,"SRINAGAR DALGATE, DISTT. SRINA",,,,,,,,,,,,,,,,,,,,,,,,
616,,,"SRINAGAR JEHANGIR CHOWK, DISTT",,,,,,,,,,,,,,,,,,,,,,,,
617,,,SRINAGAR JAMMU & KASHMIR,,,,,,,,,,,,,,,,,,,,,,,,
618,,,SUNDERBANI,,,,,,,,,,,,,,,,,,,,,,,,
619,,,ARMY PUBLIC SCHOOL UDHAMPUR,,,,,,,,,,,,,,,,,,,,,,,,
620,,,KATRA VAISHNO DEVI,,,,,,,,,,,,,,,,,,,,,,,,
621,,,DUDU,,,,,,,,,,,,,,,,,,,,,,,,
622,,,KULWANTA,,,,,,,,,,,,,,,,,,,,,,,,
623,,,POUNI,,,,,,,,,,,,,,,,,,,,,,,,
624,,,BHARAKH,,,,,,,,,,,,,,,,,,,,,,,,
625,,,MANTALIA,,,,,,,,,,,,,,,,,,,,,,,,
626,,,TOWN HALL - UDHAMPUR,,,,,,,,,,,,,,,,,,,,,,,,
627,,,JIB,,,,,,,,,,,,,,,,,,,,,,,,
628,,,DEVIKA URBAN CO-OPERATIVE BANK LTD,,,,,,,,,,,,,,,,,,,,,,,,
629,,,DALSAR,,,,,,,,,,,,,,,,,,,,,,,,
630,,,INDUSTRIAL ESTATE SICOP COMPLEX UDHAMPUR,,,,,,,,,,,,,,,,,,,,,,,,
631,,,JOHNU,,,,,,,,,,,,,,,,,,,,,,,,
632,,,MAND,,,,,,,,,,,,,,,,,,,,,,,,
633,,,ZONAL OFFICE JAMMU NORTH TWO,,,,,,,,,,,,,,,,,,,,,,,,
634,,,"UDHAMPUR,DIST HQ",,,,,,,,,,,,,,,,,,,,,,,,
635,,,JYOTIPURAM,,,,,,,,,,,,,,,,,,,,,,,,
636,,,RAMNAGAR,,,,,,,,,,,,,,,,,,,,,,,,
637,,,GARHI,,,,,,,,,,,,,,,,,,,,,,,,
638,,,AIR FORCE STATION UDHAMPUR,,,,,,,,,,,,,,,,,,,,,,,,
639,,,KATRA,,,,,,,,,,,,,,,,,,,,,,,,
640,,,"UDHAMPUR,JK",,,,,,,,,,,,,,,,,,,,,,,,
641,,,CHINAR COMPOUND UDHAMPUR,,,,,,,,,,,,,,,,,,,,,,,,
642,,,JAGANOO MORE,,,,,,,,,,,,,,,,,,,,,,,,
643,,,SMM RAMNAGAR,,,,,,,,,,,,,,,,,,,,,,,,
644,,,UDHAMPUR MAIN BAZAR,,,,,,,,,,,,,,,,,,,,,,,,
645,,,THILL ROWN,,,,,,,,,,,,,,,,,,,,,,,,
646,,,KAROO,,,,,,,,,,,,,,,,,,,,,,,,
647,,,TURTUK,,,,,,,,,,,,,,,,,,,,,,,,
648,,,TEMISGAM,,,,,,,,,,,,,,,,,,,,,,,,
649,,,HIMYA,,,,,,,,,,,,,,,,,,,,,,,,
650,,,KARGIL (MAIN),,,,,,,,,,,,,,,,,,,,,,,,
651,,,KHALTSI,,,,,,,,,,,,,,,,,,,,,,,,
652,,,LEH,,,,,,,,,,,,,,,,,,,,,,,,
653,,,NEAR POST OFFICE ROAD MAIN BAZAR,,,,,,,,,,,,,,,,,,,,,,,,
654,,,NIMMOO,,,,,,,,,,,,,,,,,,,,,,,,
655,,,NYOMA,,,,,,,,,,,,,,,,,,,,,,,,
